========================================================================================================================
RUNNING ATTENTION STRATEGIES ON ALL PDGs
========================================================================================================================

────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Processing chain_4v_3e (fixed structure; 50 CPD replicates)
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  [chain_4v_3e] rep 1/50 uniform... /network/scratch/s/samieima/projects/lir/src/run_strategies_on_pdgs.py:399: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  initial_inconsistency = float(torch_score(pdg_copy, mu_state, LIR_GAMMA))
✓ Res 100.0%
  [chain_4v_3e] rep 1/50 partial... ✓ Res 90.3%
  [chain_4v_3e] rep 1/50 hub... ✓ Res 100.0%
  [chain_4v_3e] rep 2/50 uniform... ✓ Res 100.0%
  [chain_4v_3e] rep 2/50 partial... ✓ Res 23.1%
  [chain_4v_3e] rep 2/50 hub... ✓ Res 100.0%
  [chain_4v_3e] rep 3/50 uniform... ✓ Res 100.0%
  [chain_4v_3e] rep 3/50 partial... ✓ Res 52.0%
  [chain_4v_3e] rep 3/50 hub... ✓ Res 100.0%
  [chain_4v_3e] rep 4/50 uniform... ✓ Res 100.0%
  [chain_4v_3e] rep 4/50 partial... ✓ Res 86.0%
  [chain_4v_3e] rep 4/50 hub... ✓ Res 100.0%
  [chain_4v_3e] rep 5/50 uniform... ✓ Res 100.0%
  [chain_4v_3e] rep 5/50 partial... ✓ Res 34.7%
  [chain_4v_3e] rep 5/50 hub... ✓ Res 100.0%
  [chain_4v_3e] rep 6/50 uniform... ✓ Res 100.0%
  [chain_4v_3e] rep 6/50 partial... ✓ Res 76.1%
  [chain_4v_3e] rep 6/50 hub... ✓ Res 100.0%
  [chain_4v_3e] rep 7/50 uniform... ✓ Res 100.0%
  [chain_4v_3e] rep 7/50 partial... ✓ Res 66.4%
  [chain_4v_3e] rep 7/50 hub... ✓ Res 100.0%
  [chain_4v_3e] rep 8/50 uniform... ✓ Res 100.0%
  [chain_4v_3e] rep 8/50 partial... ✓ Res 30.1%
  [chain_4v_3e] rep 8/50 hub... ✓ Res 100.0%
  [chain_4v_3e] rep 9/50 uniform... ✓ Res 99.1%
  [chain_4v_3e] rep 9/50 partial... ✓ Res 58.2%
  [chain_4v_3e] rep 9/50 hub... ✓ Res 99.3%
  [chain_4v_3e] rep 10/50 uniform... ✓ Res 100.0%
  [chain_4v_3e] rep 10/50 partial... ✓ Res 77.8%
  [chain_4v_3e] rep 10/50 hub... ✓ Res 100.0%
  [chain_4v_3e] rep 11/50 uniform... ✓ Res 100.0%
  [chain_4v_3e] rep 11/50 partial... ✓ Res 63.7%
  [chain_4v_3e] rep 11/50 hub... ✓ Res 100.0%
  [chain_4v_3e] rep 12/50 uniform... ✓ Res 100.0%
  [chain_4v_3e] rep 12/50 partial... ✓ Res 71.9%
  [chain_4v_3e] rep 12/50 hub... ✓ Res 100.0%
  [chain_4v_3e] rep 13/50 uniform... ✓ Res 100.0%
  [chain_4v_3e] rep 13/50 partial... ✓ Res 41.5%
  [chain_4v_3e] rep 13/50 hub... ✓ Res 100.0%
  [chain_4v_3e] rep 14/50 uniform... ✓ Res 100.0%
  [chain_4v_3e] rep 14/50 partial... ✓ Res 71.0%
  [chain_4v_3e] rep 14/50 hub... ✓ Res 100.0%
  [chain_4v_3e] rep 15/50 uniform... ✓ Res 100.0%
