========================================================================================================================
RUNNING ATTENTION STRATEGIES ON ALL PDGs
========================================================================================================================

────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
Processing chain_6v_5e (fixed structure; 50 CPD replicates)
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  [chain_6v_5e] rep 1/50 uniform... /network/scratch/s/samieima/projects/lir/src/run_strategies_on_pdgs.py:399: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  initial_inconsistency = float(torch_score(pdg_copy, mu_state, LIR_GAMMA))
✓ Res 100.0%
  [chain_6v_5e] rep 1/50 partial... ✓ Res 88.1%
  [chain_6v_5e] rep 1/50 hub... ✓ Res 99.9%
  [chain_6v_5e] rep 2/50 uniform... ✓ Res 100.0%
  [chain_6v_5e] rep 2/50 partial... ✓ Res 65.5%
  [chain_6v_5e] rep 2/50 hub... ✓ Res 100.0%
  [chain_6v_5e] rep 3/50 uniform... ✓ Res 100.0%
  [chain_6v_5e] rep 3/50 partial... ✓ Res 96.6%
  [chain_6v_5e] rep 3/50 hub... ✓ Res 99.9%
  [chain_6v_5e] rep 4/50 uniform... ✓ Res 99.7%
  [chain_6v_5e] rep 4/50 partial... ✓ Res 86.5%
  [chain_6v_5e] rep 4/50 hub... ✓ Res 99.7%
  [chain_6v_5e] rep 5/50 uniform... ✓ Res 100.0%
  [chain_6v_5e] rep 5/50 partial... ✓ Res 38.1%
  [chain_6v_5e] rep 5/50 hub... ✓ Res 100.0%
  [chain_6v_5e] rep 6/50 uniform... ✓ Res 99.9%
  [chain_6v_5e] rep 6/50 partial... ✓ Res 95.2%
  [chain_6v_5e] rep 6/50 hub... ✓ Res 100.0%
  [chain_6v_5e] rep 7/50 uniform... ✓ Res 100.0%
  [chain_6v_5e] rep 7/50 partial... ✓ Res 50.6%
  [chain_6v_5e] rep 7/50 hub... ✓ Res 100.0%
  [chain_6v_5e] rep 8/50 uniform... ✓ Res 100.0%
  [chain_6v_5e] rep 8/50 partial... ✓ Res 47.7%
  [chain_6v_5e] rep 8/50 hub... ✓ Res 100.0%
  [chain_6v_5e] rep 9/50 uniform... ✓ Res 99.8%
  [chain_6v_5e] rep 9/50 partial... ✓ Res 89.0%
  [chain_6v_5e] rep 9/50 hub... ✓ Res 99.7%
  [chain_6v_5e] rep 10/50 uniform... ✓ Res 99.9%
  [chain_6v_5e] rep 10/50 partial... ✓ Res 94.2%
  [chain_6v_5e] rep 10/50 hub... ✓ Res 99.9%
  [chain_6v_5e] rep 11/50 uniform... ✓ Res 100.0%
  [chain_6v_5e] rep 11/50 partial... ✓ Res 82.7%
  [chain_6v_5e] rep 11/50 hub... ✓ Res 100.0%
  [chain_6v_5e] rep 12/50 uniform... ✓ Res 100.0%
  [chain_6v_5e] rep 12/50 partial... ✓ Res 79.9%
  [chain_6v_5e] rep 12/50 hub... ✓ Res 100.0%
  [chain_6v_5e] rep 13/50 uniform... ✓ Res 99.5%
  [chain_6v_5e] rep 13/50 partial... ✓ Res 49.9%
  [chain_6v_5e] rep 13/50 hub... ✓ Res 99.5%
  [chain_6v_5e] rep 14/50 uniform... ✓ Res 99.8%
  [chain_6v_5e] rep 14/50 partial... ✓ Res 86.6%
  [chain_6v_5e] rep 14/50 hub... ✓ Res 99.7%
